student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
1,11,82,Yes,75,Pass
2,9,85,Yes,65,Pass
3,12,91,Yes,73,Pass
4,15,91,No,76,Pass
5,9,61,No,60,Fail
6,9,67,No,55,Fail
7,15,84,No,80,Pass
8,12,84,No,89,Pass
9,8,84,No,69,Pass
10,11,100,No,69,Pass
11,8,85,No,72,Pass
12,8,92,Yes,64,Pass
13,10,89,Yes,54,Pass
14,3,86,Yes,45,Fail
15,3,74,No,35,Fail
16,8,87,No,58,Pass
17,6,69,Yes,57,Fail
18,11,75,No,80,Pass
19,6,72,No,56,Fail
20,5,79,Yes,55,Fail
21,15,100,Yes,94,Pass
22,9,56,No,35,Fail
23,10,86,Yes,73,Pass
24,5,59,No,53,Fail
25,8,72,Yes,49,Fail
26,10,91,No,78,Pass
27,5,79,No,55,Fail
28,11,65,No,59,Fail
29,7,69,No,60,Fail
30,8,86,Yes,87,Pass
31,7,69,Yes,61,Fail
32,16,81,Yes,86,Pass
33,9,79,No,58,Fail
34,6,70,No,44,Fail
35,12,100,No,82,Pass
36,5,86,Yes,51,Fail
37,10,54,Yes,63,Fail
38,3,80,Yes,48,Fail
39,5,70,Yes,59,Fail
40,10,88,No,70,Fail
41,12,68,Yes,80,Pass
42,10,77,Yes,64,Pass
43,9,84,No,61,Fail
44,8,88,Yes,58,Pass
45,4,64,Yes,47,Fail
46,7,74,No,59,Fail
47,8,72,Yes,69,Pass
48,13,70,No,61,Fail
49,11,99,No,80,Pass
50,3,83,No,61,Fail
51,11,63,Yes,71,Pass
52,8,89,No,79,Pass
53,7,100,Yes,61,Pass
54,12,90,Yes,66,Pass
55,13,60,Yes,55,Pass
56,13,72,No,83,Pass
57,7,93,Yes,72,Pass
58,8,70,Yes,61,Fail
59,11,83,No,70,Pass
60,13,87,Yes,68,Pass
61,8,67,Yes,83,Pass
62,9,77,Yes,67,Fail
63,6,50,Yes,52,Fail
64,5,66,Yes,60,Fail
65,12,75,Yes,77,Pass
66,14,63,No,71,Pass
67,9,98,Yes,65,Pass
68,13,61,Yes,76,Pass
69,11,73,No,82,Pass
70,7,80,Yes,74,Pass
71,11,95,No,85,Pass
72,15,61,Yes,71,Pass
73,9,92,Yes,61,Pass
74,15,78,Yes,80,Pass
75,2,66,Yes,47,Fail
76,12,84,Yes,85,Pass
77,10,80,Yes,54,Fail
78,8,71,Yes,76,Fail
79,10,79,Yes,68,Fail
80,3,73,Yes,47,Fail
81,9,79,Yes,58,Fail
82,11,86,Yes,59,Pass
83,15,97,Yes,94,Pass
84,8,63,No,55,Fail
85,7,100,Yes,56,Pass
86,8,55,No,41,Fail
87,13,76,No,67,Pass
88,11,85,Yes,88,Pass
89,8,81,No,58,Fail
90,11,71,No,51,Fail
91,10,76,Yes,66,Pass
92,13,72,Yes,72,Pass
93,7,71,No,35,Fail
94,8,88,No,61,Pass
95,8,82,Yes,63,Fail
96,4,70,Yes,58,Fail
97,11,89,Yes,91,Pass
98,10,82,Yes,80,Pass
99,10,88,No,64,Fail
100,9,86,Yes,59,Pass
101,5,68,Yes,77,Pass
102,8,71,No,58,Fail
103,8,87,Yes,67,Pass
104,7,85,Yes,63,Pass
105,9,78,No,63,Fail
106,11,79,No,65,Pass
107,16,93,Yes,82,Pass
108,10,71,Yes,62,Fail
109,10,85,Yes,71,Pass
110,9,76,Yes,61,Pass
111,3,75,Yes,45,Fail
112,9,91,Yes,71,Pass
113,10,88,Yes,69,Pass
114,18,88,Yes,98,Pass
115,9,94,Yes,47,Pass
116,11,78,Yes,81,Pass
117,9,86,Yes,80,Pass
118,5,74,Yes,37,Fail
119,13,82,Yes,74,Pass
120,12,76,No,65,Fail
121,12,79,No,56,Fail
122,6,85,No,49,Fail
123,14,68,No,61,Fail
124,5,100,Yes,79,Pass
125,12,66,Yes,79,Pass
126,17,63,Yes,93,Pass
127,6,92,No,65,Pass
128,8,87,No,51,Fail
129,10,85,Yes,66,Pass
130,8,86,Yes,71,Pass
131,4,78,Yes,43,Fail
132,10,67,Yes,72,Pass
133,6,79,No,52,Fail
134,11,70,No,61,Fail
135,6,90,Yes,69,Pass
136,15,76,No,79,Pass
137,7,68,No,51,Fail
138,8,74,Yes,73,Pass
139,12,83,Yes,65,Pass
140,5,71,Yes,60,Fail
141,10,68,Yes,71,Pass
142,14,81,Yes,76,Pass
143,4,81,Yes,58,Fail
144,10,72,Yes,56,Fail
145,10,72,Yes,75,Pass
146,12,81,No,68,Pass
147,5,61,Yes,47,Fail
148,5,61,Yes,62,Fail
149,11,69,Yes,62,Pass
150,11,75,No,53,Pass
151,10,82,Yes,56,Pass
152,11,96,Yes,82,Pass
153,7,88,No,48,Fail
154,10,76,No,79,Pass
155,11,78,No,48,Fail
156,7,66,Yes,74,Pass
157,16,78,Yes,85,Pass
158,11,75,No,65,Pass
159,5,82,No,48,Fail
160,12,68,No,69,Pass
161,6,84,No,56,Fail
162,12,96,Yes,89,Pass
163,14,77,No,74,Pass
164,7,83,Yes,64,Pass
165,13,86,Yes,75,Pass
166,11,73,Yes,69,Pass
167,12,81,Yes,77,Pass
168,16,78,Yes,68,Pass
169,9,79,Yes,55,Fail
170,7,69,No,61,Fail
171,6,78,Yes,61,Pass
172,7,84,No,57,Fail
173,9,95,Yes,71,Pass
174,11,90,Yes,78,Pass
175,10,100,Yes,70,Pass
176,12,69,Yes,64,Pass
177,10,88,Yes,73,Pass
178,15,80,Yes,73,Pass
179,9,100,Yes,76,Pass
180,18,68,No,65,Fail
181,12,68,Yes,80,Pass
182,6,71,No,57,Fail
183,6,53,Yes,55,Fail
184,11,72,No,73,Pass
185,9,69,No,74,Pass
186,12,80,No,78,Pass
187,11,82,Yes,56,Fail
188,9,100,Yes,61,Pass
189,7,89,Yes,59,Pass
190,4,71,No,48,Fail
191,8,67,No,61,Pass
192,12,84,No,64,Fail
193,10,62,Yes,66,Fail
194,5,100,No,51,Fail
195,10,92,No,62,Pass
196,11,72,Yes,57,Pass
197,6,57,Yes,45,Fail
198,10,94,No,56,Pass
199,10,77,No,55,Fail
200,5,93,No,66,Pass
